# artifact_type: raw_data
# circuit_file: 02_complementary_push_pull.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\by_device\bjt\02_complementary_push_pull.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:24:10.334747

Time (s),V(out),V(in),I(VIN),V(vdd),V(vss),I(VDD),I(VSS)
0.0019228000000000042,-0.6945201140518122,-1.3987893749697053,3.155491454202852e-05,12.0,-12.0,2.5360662903040065e-08,0.0069136208547462275
0.0019328000000000043,-0.5324096135691734,-1.2293870215575733,2.4135819183285223e-05,12.0,-12.0,2.610001104130788e-08,0.005299934205709178
0.0019428000000000043,-0.36806431609225865,-1.055132839224863,1.6443757878542575e-05,12.0,-12.0,2.7051569873037806e-08,0.0036641723405352877
0.0019528000000000043,-0.20532051694781026,-0.8767145296200735,9.138684112092177e-06,12.0,-12.0,2.7602169438978308e-08,0.0020440388720714964
0.001962800000000004,-0.05699755703765237,-0.6948362282996431,2.280865120260489e-06,12.0,-12.0,2.835642476384237e-08,0.0005676663375311364
0.001972800000000004,-0.00036973056084333046,-0.5102157258265912,-4.1991963586548997e-07,12.0,-12.0,2.8702942245217855e-08,4.088510792144007e-06
0.001982800000000004,3.6432214179028584e-05,-0.32358163497909465,-4.3002694427238253e-07,12.0,-12.0,2.9247615884742117e-08,3.6445555906539084e-08
0.001992800000000004,3.331542608290225e-05,-0.13567051524872276,-3.9595291294325374e-07,12.0,-12.0,2.9376735710684443e-08,3.3410032074243645e-08
0.0020028000000000042,3.4788969702338324e-05,0.05277603402337326,-4.108749086031982e-07,12.0,-12.0,2.9699478432121396e-08,3.327370734496071e-08
0.0020128000000000043,3.316522338925555e-05,0.2410143004002608,-3.9415415149963995e-07,12.0,-12.0,2.94770927666832e-08,3.3012582889568876e-08
0.0020228000000000043,5.390337954278595e-05,0.42830139344242335,-4.2845759842466413e-07,12.0,-12.0,-1.4321366847980244e-07,3.262506709234003e-08
0.0020328000000000043,0.013489189018681838,0.6138981765569679,-7.854669551270177e-07,12.0,-12.0,-0.00013413855430144395,3.2118464332597796e-08
0.0020428000000000043,0.1363608508292256,0.7970721840320303,-4.1583658658625455e-06,12.0,-12.0,-0.0013594816460908987,3.1490856144955615e-08
0.0020528000000000044,0.29604210034750617,0.9771005117443714,-9.1637309908299e-06,12.0,-12.0,-0.0029512880352058346,3.07497316498484e-08
0.0020628000000000044,0.4603716701303335,1.1532726701316143,-1.3981966162729398e-05,12.0,-12.0,-0.004589764647690231,2.989941094710957e-08
0.0020728000000000044,0.6235368088306613,1.3248933881700182,-1.920453650404441e-05,12.0,-12.0,-0.0062161925048229705,2.8939680873918405e-08
0.0020828000000000044,0.783757727621414,1.491285357291528,-2.3996508792062388e-05,12.0,-12.0,-0.00781360866437808,2.7883459097211016e-08
0.0020928000000000045,0.9392756631454864,1.6517919044112719,-2.9100932319239825e-05,12.0,-12.0,-0.00936368243579011,2.672300070116762e-08
0.0021028000000000045,1.0890852385144418,1.805779583516253,-3.365734103485951e-05,12.0,-12.0,-0.010857220537673129,2.5479721443844028e-08
0.0021128000000000045,1.2323992353557542,1.9526406755873091,-3.8456692541877224e-05,12.0,-12.0,-0.012285559813264513,2.413827360214782e-08
0.0021228000000000045,1.3685144878846287,2.0917955869884954,-4.265354201306304e-05,12.0,-12.0,-0.01364251407923689,2.2728329440724337e-08
0.0021328000000000046,1.4967798054808181,2.2226951368583308,-4.703865241871552e-05,12.0,-12.0,-0.014920780643464582,2.1226867374934955e-08
0.0021428000000000046,1.6166223041287313,2.344822724475811,-5.076959496536082e-05,12.0,-12.0,-0.016115473132487068,1.967180196515983e-08
0.0021528000000000046,1.727503946036588,2.4576963680473853,-5.464007810905558e-05,12.0,-12.0,-0.017220417429228974,1.8032494608632987e-08
0.0021628000000000046,1.8289533690422952,2.560870606868946,-5.7811073094687915e-05,12.0,-12.0,-0.018231738986784762,1.635490320950339e-08
0.0021728000000000047,1.9205279490142333,2.653938259355683,-6.107919687528551e-05,12.0,-12.0,-0.019144214908692447,1.4600772146877716e-08
0.0021828000000000047,2.001849438977209,2.736532030001807,-6.360912771363747e-05,12.0,-12.0,-0.01995489810086326,1.282404582525487e-08
0.0021928000000000047,2.072567230505723,2.8083259589280747,-6.620085070152548e-05,12.0,-12.0,-0.020659482447982214,1.0978823183904751e-08
0.0022028000000000048,2.132395348783814,2.8690367082965444,-6.802324555910122e-05,12.0,-12.0,-0.021255939384161593,9.127006705966778e-09
0.0022128000000000048,2.1810758692491268,2.91842468051556,-6.988017586845308e-05,12.0,-12.0,-0.021740885746538652,7.214993047455209e-09
0.002222800000000005,2.218416393370992,2.956294963821989,-7.094519338990413e-05,12.0,-12.0,-0.022113224067851434,5.312529083312256e-09
0.002232800000000005,2.2442532904719195,2.982498101508912,-7.202647682746921e-05,12.0,-12.0,-0.022370509801277194,3.358422873134259e-09
0.002242800000000005,2.2584892554287217,2.9969306817629517,-7.230260754284568e-05,12.0,-12.0,-0.02251259139191575,1.4301519968284993e-09
0.002252800000000005,2.2610562891904213,2.999535745783464,-7.258637590318306e-05,12.0,-12.0,-0.022537975989834536,-5.411635584096075e-10
0.002262800000000005,2.2519531291673283,2.9903030125729013,-7.206158904796145e-05,12.0,-12.0,-0.022447467247346253,-2.4702728751435643e-09
