# artifact_type: raw_data
# circuit_file: amplifier circuit.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\cir\amplifier circuit.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:26:01.903172

Time (s),V(n001),V(n002),V(n003),V(n004),V(n005),V(xu1.ndrv),I(E.XU1.E1),I(V1),I(V2),I(V3)
0.0020056000000000036,3.5181708764251663e-07,-0.3517819090646465,12.0,0.03517857790526106,-12.0,-0.3518170876425166,3.5178577870109695e-05,-1.2e-11,-3.517822608817342e-05,-1.2e-11
0.0020256000000000037,1.6017109570432727e-06,-1.6015508002015306,12.0,0.1601568419022058,-12.0,-1.6017109570432726,0.0001601568417419763,-1.2e-11,-0.00016015524019124877,-1.2e-11
0.0020456000000000038,2.8263448878356923e-06,-2.8260622784991454,12.0,0.2826093368292911,-12.0,-2.8263448878356923,0.0002826093365468907,-1.2e-11,-0.0002826065104844033,-1.2e-11
0.002065600000000004,4.006405671370361e-06,-4.006005066457069,12.0,0.4006049136919455,-12.0,-4.006405671370361,0.00040060491329185766,-1.2e-11,-0.00040060090728627414,-1.2e-11
0.002085600000000004,5.123283044156764e-06,-5.12277076144552,12.0,0.5122827117559006,-12.0,-5.123283044156764,0.0005122827112442607,-1.2e-11,-0.0005122775884728565,-1.2e-11
0.002105600000000004,6.159363182835874e-06,-6.158747301331057,12.0,0.6158815054326068,-12.0,-6.1593631828358735,0.0006158815048165067,-1.2e-11,-0.000615875346069424,-1.2e-11
0.002125600000000004,7.098306484696457e-06,-7.097596717217308,12.0,0.7097674798588639,-12.0,-7.098306484696457,0.0007097674791491926,-1.2e-11,-0.0007097603815523792,-1.2e-11
0.002145600000000004,7.925305252970607e-06,-7.924512792974266,12.0,0.7924599971332049,-12.0,-7.925305252970607,0.0007924599963411438,-1.2e-11,-0.0007924520718279519,-1.2e-11
0.002165600000000004,8.627317223057546e-06,-8.626454568111548,12.0,0.8626549468601001,-12.0,-8.627317223057545,0.0008626549459975763,-1.2e-11,-0.0008626463195428771,-1.2e-11
0.002185600000000004,9.193271246827359e-06,-9.192352001515527,12.0,0.9192453127499243,-12.0,-9.193271246827358,0.0009192453118309629,-1.2e-11,-0.0009192361194786775,-1.2e-11
0.002205600000000004,9.614241891240665e-06,-9.613280552610698,12.0,0.9613386309271502,-12.0,-9.614241891240665,0.0009613386299669457,-1.2e-11,-0.000961329016685259,-1.2e-11
0.0022256000000000042,9.88359019775938e-06,-9.882601926695749,12.0,0.9882710646187924,-12.0,-9.88359019775938,0.0009882710636315295,-1.2e-11,-0.0009882611810285947,-1.2e-11
0.0022456000000000043,9.997068382688837e-06,-9.99606876481658,12.0,0.9996178732568788,-12.0,-9.997068382688838,0.0009996178722584403,-1.2e-11,-0.0009996078761884961,-1.2e-11
0.0022656000000000043,9.952886827264102e-06,-9.951891627154206,12.0,0.9952001108909306,-12.0,-9.952886827264102,0.0009952001098962882,-1.2e-11,-0.0009951901580041035,-1.2e-11
0.0022856000000000044,9.751742301007019e-06,-9.75076721355972,12.0,0.9750874482725032,-12.0,-9.751742301007019,0.0009750874472977955,-1.2e-11,-0.0009750776965302021,-1.2e-11
0.0023056000000000044,9.396806973254566e-06,-9.3958673761814,12.0,0.9395970741058105,-12.0,-9.396806973254566,0.0009395970731667092,-1.2e-11,-0.0009395876772988372,-1.2e-11
0.0023256000000000045,8.893678386153499e-06,-8.892789097461595,12.0,0.8892886927923843,-12.0,-8.893678386153498,0.0008892886919031895,-1.2e-11,-0.0008892797991139982,-1.2e-11
0.0023456000000000045,8.250291178076837e-06,-8.249466222380104,12.0,0.8249556975583063,-12.0,-8.250291178076838,0.0008249556967339089,-1.2e-11,-0.0008249474472671282,-1.2e-11
0.0023656000000000046,7.476791949636858e-06,-7.476044336979436,12.0,0.7476126581690883,-12.0,-7.4767919496368584,0.0007476126574221809,-1.2e-11,-0.0007476051813771386,-1.2e-11
0.0023856000000000046,6.5853792457320775e-06,-6.584720766412177,12.0,0.658479320558388,-12.0,-6.585379245732078,0.0006584793199007066,-1.2e-11,-0.0006584727351791423,-1.2e-11
0.0024056000000000047,5.590111177207237e-06,-5.58955221583709,12.0,0.5589613707060039,-12.0,-5.590111177207237,0.0005589613701468821,-1.2e-11,-0.0005589557805948267,-1.2e-11
0.0024256000000000047,4.506683716047288e-06,-4.506233087781609,12.0,0.45062826613024853,-12.0,-4.506683716047289,0.00045062826568020853,-1.2e-11,-0.0004506237594465325,-1.2e-11
0.002445600000000005,3.3521831605229e-06,-3.3518479720386294,12.0,0.3351884846053395,-12.0,-3.3521831605229,0.0003351884842706099,-1.2e-11,-0.000335185132422179,-1.2e-11
0.002465600000000005,2.144816674059926e-06,-2.1446022114796937,12.0,0.21446258044631086,-12.0,-2.1448166740599257,0.00021446258023205544,-1.2e-11,-0.0002144604356296368,-1.2e-11
0.002485600000000005,9.036251473956335e-07,-0.9035347929224439,12.0,0.09035447327990652,-12.0,-0.9036251473956335,9.035447318961332e-05,-1.2e-11,-9.035356965475913e-05,-1.2e-11
