# artifact_type: raw_data
# circuit_file: 06_njf_source_follower.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\transient_analysis\06_njf_source_follower.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:27:29.543802

Time (s),V(in),I(VIN),V(gate),V(sfollow),V(vdd),I(VDD)
0.0012828000000000026,0.09788388261847168,-9.77838451113322e-08,0.09787713821391679,2.485153273223829,10.0,-0.0004970307479386094
0.0012928000000000026,0.09640583162076666,-9.628057918292798e-08,0.0963981168940903,2.4838374975408914,10.0,-0.0004967676170473112
0.0013028000000000026,0.09454731084928943,-9.439747193987214e-08,0.09453864273235744,2.4821833156253765,10.0,-0.0004964368042958966
0.0013128000000000026,0.09231565503644766,-9.214156224124359e-08,0.09230605422434478,2.4801972920336643,10.0,-0.0004960396228987918
0.0013228000000000027,0.08971967150818799,-8.952214611973597e-08,0.0897091623775433,2.4778873075024515,10.0,-0.0004955776485200403
0.0013328000000000027,0.08676960542550456,-8.654916834952009e-08,0.08675821593828752,2.475262526953954,10.0,-0.0004950527144398364
0.0013428000000000027,0.08347709935146864,-8.323475482116538e-08,0.08346486094463576,2.4723333628544966,10.0,-0.0004944669026762938
0.0013528000000000027,0.07985514730335153,-7.95915931668667e-08,0.0798420947647787,2.469111433063963,10.0,-0.0004938225371144966
0.0013628000000000028,0.07591804347117465,-7.563445409038139e-08,0.07590421480236553,2.465609514367257,10.0,-0.0004931221726351964
0.0013728000000000028,0.07168132580507179,-7.13785618128987e-08,0.07166676207118317,2.461841490871572,10.0,-0.0004923685863769123
0.0013828000000000028,0.06716171469409904,-6.68411051039236e-08,0.06714645986187583,2.457822298499239,10.0,-0.000491564765056296
0.0013928000000000028,0.06237704697849761,-6.203959847933538e-08,0.062361147742756466,2.453567864794539,10.0,-0.0004907138945071665
0.0014028000000000029,0.0573462055558341,-5.699338391333686e-08,0.05732971115518099,2.449095045313401,10.0,-0.0004898193453897193
0.001412800000000003,0.05208904485883095,-5.1721983796576554e-08,0.052072006881339304,2.4444215558410516,10.0,-0.000488884661193012
0.001422800000000003,0.0466263124989908,-4.6246594467141966e-08,0.046608784678607844,2.4395659017466738,10.0,-0.000487913542535523
0.001432800000000003,0.04097956738525324,-4.058843213611274e-08,0.04096160538973726,2.4345473037351995,10.0,-0.0004869098339206346
0.001442800000000003,0.035171094640829584,-3.477021944583297e-08,0.03515275585205569,2.4293856213434046,10.0,-0.00048587750680617603
0.001452800000000003,0.029223817654003288,-2.8814525638784505e-08,0.029205160941503976,2.424101273457117,10.0,-0.00048482064532784364
