# artifact_type: raw_data
# circuit_file: 01_nmos_low_side_switch.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\by_device\mosfet\01_nmos_low_side_switch.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:24:43.854593

Time (s),V(drain),I(VIN),V(gate),V(m1#body diode),V(m1#gate),V(n1),V(vdd),I(LLOAD),I(VDD)
1.0060806082103652e-05,0.032421126076608714,-0.00989634400957673,3.0403041051826634,0.0012183153676475305,3.010615073153933,9.791189105899516,10.0,0.0020881089410048374,-0.0020881089410048487
1.0062851600114363e-05,0.03123105675214257,-0.010093202810149027,3.1425800057182154,-0.0011187336259570997,3.1123003972877687,9.789193014769614,10.0,0.002108069852303856,-0.0021080698523038566
1.0065527200908237e-05,0.03170153836043461,-0.009921566151954497,3.276360045411894,0.0010097835063192398,3.246595346956031,9.7865825858578,10.0,0.002134174141421994,-0.0021341741414220017
1.0068777942244963e-05,0.030886819574554893,-0.01006741081110496,3.438897112248176,-0.0009473651246532612,3.408694879814861,9.783411909282675,10.0,0.002165880907173257,-0.002165880907173248
1.0073079505131193e-05,0.031017471567922058,-0.009942999196503433,3.65397525655967,0.0008780712205538133,3.6241462589701596,9.779217729462184,10.0,0.002207822705378154,-0.002207822705378157
1.007900542876743e-05,0.030664016827737648,-0.010045133530643513,3.950271438371577,-0.0008372299564735481,3.920136037779647,9.773442626843847,10.0,0.0022655737315615326,-0.0022655737315615265
1.0087401123162455e-05,0.03044815509128513,-0.009962160480181614,4.370056158122799,0.000798483756477126,4.340169676682255,9.765266229378298,10.0,0.0023473377062170125,-0.0023473377062170203
1.01e-05,0.03086339700730803,-0.010025476649735854,5.0,-0.0007704768650882139,4.969923570050792,9.75300943465436,10.0,0.002469905653456405,-0.0024699056534564084
1.0100590672591884e-05,0.024529349360270257,-0.006169589139462417,5.0,-0.0009236363382177483,4.981491232581613,9.752434833939741,10.0,0.0024756516606025854,-0.0024756516606025958
1.0101772017775653e-05,0.015044082577963632,-0.0015391933428468008,5.0,-0.0005565909517264698,4.99538241997146,9.751285140151055,10.0,0.002487148598489451,-0.002487148598489461
